seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
0,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,113.143142979,0.0419921875,1767995795.1791477
1,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,60.194105712,0.7794189453125,1767995863.8232422
2,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,67.695118275,0.1148681640625,1767995940.468391
3,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,82.384628972,0.8050537109375,1767996031.772057
4,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,104.832935908,0.1552734375,1767996145.2030554
0,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,525.22109185,0.742919921875,1767997595.3566597
1,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,600.878100325,0.6697998046875,1767998204.377133
2,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,599.084386292,0.512939453125,1767998812.0516963
3,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,591.115024873,0.8011474609375,1767999411.9326622
4,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,582.644164839,0.371337890625,1768000003.8866267
0,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,574.124968811,0.1556396484375,1768000586.8083847
1,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,575.725669299,0.16943359375,1768001171.4961088
2,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,596.962784489,0.1090087890625,1768001776.92582
3,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,636.424023111,0.1334228515625,1768002422.297985
4,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,585.090458664,0.0152587890625,1768003015.9566202
0,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,632.970798937,0.0,1768003728.290499
1,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,580.715091572,0.0,1768004391.0273566
2,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,593.583973492,0.0,1768004993.9748461
3,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,540.408508542,0.0,1768005543.5666416
4,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,606.655090382,0.0,1768006159.1174064
0,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,613.62917446,0.0,1768006781.8271725
1,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,576.591631683,0.0,1768007367.5131402
2,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,563.411610842,0.0,1768007939.3980422
3,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,435.608119077,0.0,1768008383.8588388
4,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,619.128810191,0.0,1768009011.6832135
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,53.146649144,0.9993896484375,1768009073.5367653
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,54.502402212,1.0,1768009136.7959468
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,52.527243239,1.0,1768009198.2062464
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,75.449761736,0.9935302734375,1768009282.3788588
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,67.792501913,1.0,1768009359.0654848
